"Prenoèitvene zmogljivosti po: OBÈINE, SKUPINE NASTANITVENIH OBJEKTOV,"
"LETO , MERITVE"

"ZDRAVILIŠKE OBÈINE"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"2008"
" ";" ";"2011"
" ";" ";" ";"Število objektov";2
" ";" ";" ";"Število sob";70
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";280
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";280
" ";" ";"2012"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";40
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";160
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";160
" ";" ";"2013"
" ";" ";" ";"Število objektov";2
" ";" ";" ";"Število sob";65
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";260
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";260
" ";" ";"2014"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";32
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";128
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";128
" ";" ";"2015"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";32
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";128
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";128
" ";" ";"2016"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";32
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";128
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";128
" ";"Ostali nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";61
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";217
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";216
" ";" ";"2009"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";62
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";207
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";205
" ";" ";"2010"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";70
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";262
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";251
" ";" ";"2011"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";85
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";321
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";311
" ";" ";"2012"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";95
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";334
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";326
" ";" ";"2013"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";64
